"Rank","Name","GM","W-L","OPP FG","OPP FGA","OPP FG%"
"336","Northern Ariz.","30","5-25","864","1810","47.7"
"337","Rice","32","12-20","915","1901","48.1"
"338","Charlotte","33","14-19","961","1994","48.2"
"339","Northwestern St.","28","8-20","870","1798","48.4"
"340","Wofford","32","15-17","826","1699","48.6"
"341","Eastern Wash.","32","17-15","894","1837","48.7"
"342","UMBC","32","7-25","904","1821","49.6"
"343","Maine","30","8-22","934","1880","49.7"
"344","Southern Utah","29","5-24","825","1635","50.5"
"345","UTSA","32","5-27","927","1826","50.8"
"346","The Citadel","32","10-22","1052","2054","51.2"
"NR","Grand Canyon","32","26-6","779","1833","42.5"
"NR","Northern Ky.","30","9-21","754","1722","43.8"
"NR","Incarnate Word","29","17-12","769","1681","45.7"
"NR","Abilene Christian","31","13-18","792","1662","47.7"
"NR","UMass Lowell","29","11-18","850","1776","47.9"
