"Rank","Name","GM","W-L","Fouls"
"335","Buffalo","34","20-14","723"
"336","Ark.-Pine Bluff","33","8-25","724"
"337","Fresno St.","34","25-9","741"
"338","Sam Houston St.","34","18-16","743"
"339","Bradley","32","5-27","744"
"340","Jackson St.","35","20-15","749"
"341","Georgetown","33","15-18","755"
"342","UNCW","32","25-7","761"
"343","Washington","32","18-14","769"
"344","Wright St.","35","22-13","770"
"345","The Citadel","32","10-22","771"
"346","West Virginia","34","26-8","795"
"NR","Incarnate Word","29","17-12","539"
"NR","Grand Canyon","32","26-6","596"
"NR","UMass Lowell","29","11-18","598"
"NR","Northern Ky.","30","9-21","615"
"NR","Abilene Christian","31","13-18","681"
