"Rank","Name","GM","W-L","3FG","3PG"
"208","Rhode Island","32","17-15","213","6.7"
"209","Col. of Charleston","31","17-14","206","6.6"
"210","Southern Ill.","32","22-10","212","6.6"
"211","Central Ark.","28","7-21","185","6.6"
"212","Wisconsin","32","20-12","211","6.6"
"","Penn St.","32","16-16","211","6.6"
"214","Idaho","33","21-12","217","6.6"
"215","Lamar","30","11-19","197","6.6"
"216","North Dakota St.","32","20-12","210","6.6"
"","Indiana St.","32","15-17","210","6.6"
"218","Hampton","31","21-10","203","6.5"
"","Northern Colo.","31","10-21","203","6.5"
"220","Arizona","33","25-8","215","6.5"
"221","New Hampshire","31","19-12","201","6.5"
"222","Nebraska","34","16-18","220","6.5"
"223","SMU","30","25-5","194","6.5"
"224","Yale","28","22-6","181","6.5"
"225","South Ala.","33","14-19","213","6.5"
"226","La.-Lafayette","31","17-14","200","6.5"
"227","St. John's (NY)","32","8-24","206","6.4"
"","A&M-Corpus Christi","32","25-7","206","6.4"
"229","Cal St. Fullerton","30","10-20","193","6.4"
"230","Georgia","32","19-13","205","6.4"
"","Oklahoma St.","32","12-20","205","6.4"
"232","San Diego","30","9-21","192","6.4"
"233","Bryant","31","8-23","198","6.4"
"234","Tulane","34","12-22","216","6.4"
"235","Savannah St.","31","16-15","196","6.3"
"236","Air Force","32","14-18","202","6.3"
"","South Carolina","32","24-8","202","6.3"
"238","Ohio St.","33","20-13","208","6.3"
"239","American","31","12-19","195","6.3"
"","Wake Forest","31","11-20","195","6.3"
"241","Pittsburgh","32","21-11","201","6.3"
"","South Dakota","32","14-18","201","6.3"
"","UMES","32","10-22","201","6.3"
"244","North Carolina St.","33","16-17","207","6.3"
"245","Oral Roberts","31","14-17","194","6.3"
"246","Austin Peay","35","18-17","219","6.3"
"247","UCLA","32","15-17","200","6.3"
"","N.C. Central","32","13-19","200","6.3"
"249","Siena","33","21-12","206","6.2"
"","Mercer","33","19-14","206","6.2"
"251","Fresno St.","34","25-9","212","6.2"
"","Nicholls St.","34","11-23","212","6.2"
"253","Saint Louis","32","11-21","199","6.2"
"","N.C. A&T","32","10-22","199","6.2"
"255","UC Irvine","34","25-9","211","6.2"
"256","Rider","33","13-20","204","6.2"
"","Baylor","33","22-11","204","6.2"
"258","Minnesota","31","8-23","191","6.2"
"259","Western Mich.","32","13-19","197","6.2"
"260","LSU","33","19-14","203","6.2"
"261","Loyola Chicago","32","15-17","196","6.1"
"","New Mexico","32","17-15","196","6.1"
"263","Ark.-Pine Bluff","33","8-25","202","6.1"
"","Seton Hall","33","25-8","202","6.1"
"265","Southern U.","34","22-12","208","6.1"
"266","Saint Peter's","30","14-16","183","6.1"
"267","Seattle","30","14-16","182","6.1"
"268","Memphis","34","19-15","206","6.1"
"","West Virginia","34","26-8","206","6.1"
"270","Alabama A&M","29","11-18","175","6.0"
"271","Omaha","31","18-13","187","6.0"
"272","Virginia","33","26-7","198","6.0"
"","Louisville","31","23-8","186","6.0"
"","Morehead St.","31","19-12","186","6.0"
"275","Bowling Green","34","16-18","203","6.0"
"276","North Dakota","32","17-15","191","6.0"
"277","Houston Baptist","33","17-16","196","5.9"
"278","Wagner","32","22-10","190","5.9"
"279","Washington St.","31","9-22","184","5.9"
"280","South Carolina St.","34","19-15","201","5.9"
"281","Marquette","33","20-13","194","5.9"
"282","North Texas","32","12-20","187","5.8"
"283","Alcorn","30","15-15","175","5.8"
"284","Georgia Tech","33","19-14","192","5.8"
"285","Arkansas St.","31","11-20","180","5.8"
"286","San Diego St.","34","25-9","197","5.8"
"287","Florida A&M","29","8-21","168","5.8"
"288","Virginia Tech","33","19-14","191","5.8"
"289","Kent St.","32","19-13","185","5.8"
"290","LIU Brooklyn","31","16-15","179","5.8"
"","Kennesaw St.","31","11-20","179","5.8"
"292","UNC Asheville","33","22-11","190","5.8"
"293","Texas Tech","31","19-12","178","5.7"
"294","Stanford","30","15-15","172","5.7"
"295","IUPUI","32","13-19","183","5.7"
"296","Binghamton","30","8-22","171","5.7"
"297","Eastern Mich.","33","18-15","187","5.7"
"","TCU","33","12-21","187","5.7"
"299","FIU","32","13-19","181","5.7"
"300","Central Conn. St.","29","4-25","164","5.7"
"301","High Point","31","21-10","175","5.6"
"","Missouri","31","10-21","175","5.6"
"303","SIUE","28","6-22","158","5.6"
"304","Sacred Heart","30","12-18","169","5.6"
"305","Albany (NY)","32","24-8","180","5.6"
"306","Delaware","30","7-23","168","5.6"
"307","Dartmouth","28","10-18","156","5.6"
"308","Towson","32","20-12","178","5.6"
"","Robert Morris","32","10-22","178","5.6"
"310","Drexel","31","6-25","170","5.5"
"311","UC Davis","30","11-19","164","5.5"
"312","CSU Bakersfield","32","24-8","174","5.4"
"","Cleveland St.","32","9-23","174","5.4"
"314","Tennessee St.","30","20-10","163","5.4"
"315","DePaul","31","9-22","168","5.4"
"316","New Orleans","30","10-20","162","5.4"
"317","Miami (OH)","33","13-20","178","5.4"
"318","Portland St.","31","13-18","167","5.4"
"319","North Carolina","34","28-6","183","5.4"
"320","George Mason","32","11-21","172","5.4"
"321","Loyola Maryland","30","9-21","161","5.4"
"322","Samford","33","14-19","177","5.4"
"323","FGCU","33","20-13","176","5.3"
"324","Southeast Mo. St.","29","5-24","154","5.3"
"325","Kansas St.","33","17-16","175","5.3"
"326","Missouri St.","32","13-19","168","5.3"
"327","New Mexico St.","33","23-10","173","5.2"
"328","Morgan St.","31","9-22","161","5.2"
"329","Niagara","32","7-25","166","5.2"
"330","Bradley","32","5-27","165","5.2"
"331","Nevada","32","19-13","163","5.1"
"332","Mississippi Val.","34","7-27","172","5.1"
"333","Rutgers","32","7-25","161","5.0"
"334","Pepperdine","31","18-13","154","5.0"
"335","Georgia St.","30","16-14","149","5.0"
"336","Grambling","30","7-23","147","4.9"
"337","Texas St.","31","15-16","149","4.8"
"338","Presbyterian","31","11-20","148","4.8"
"339","Evansville","34","25-9","158","4.6"
"340","Howard","32","12-20","144","4.5"
"341","Ill.-Chicago","30","5-25","133","4.4"
"342","Navy","33","19-14","141","4.3"
"343","CSUN","30","10-20","126","4.2"
"344","Prairie View","31","7-24","127","4.1"
"345","Old Dominion","35","22-13","143","4.1"
"346","South Fla.","33","8-25","133","4.0"
"NR","UMass Lowell","29","11-18","240","8.3"
"NR","Incarnate Word","29","17-12","234","8.1"
"NR","Northern Ky.","30","9-21","234","7.8"
"NR","Abilene Christian","31","13-18","209","6.7"
"NR","Grand Canyon","32","26-6","200","6.3"
