"Rank","Name","GM","W-L","ORebs","RPG"
"","Tennessee St.","30","20-10","340","11.33"
"","California","33","23-10","374","11.33"
"128","North Texas","32","12-20","362","11.31"
"129","Troy","31","9-22","349","11.26"
"","Loyola Marymount","31","14-17","349","11.26"
"131","UNLV","33","18-15","371","11.24"
"132","Coastal Caro.","29","18-11","326","11.24"
"","Southeast Mo. St.","29","5-24","326","11.24"
"134","Sam Houston St.","34","18-16","382","11.24"
"135","Maine","30","8-22","337","11.23"
"136","Western Mich.","32","13-19","359","11.22"
"","UAB","32","26-6","359","11.22"
"138","Navy","33","19-14","370","11.21"
"139","Temple","32","21-11","358","11.19"
"140","Cal St. Fullerton","30","10-20","335","11.17"
"141","Auburn","31","11-20","346","11.16"
"142","N.C. A&T","32","10-22","357","11.16"
"","South Dakota St.","32","25-7","357","11.16"
"","Southern Ill.","32","22-10","357","11.16"
"145","LSU","33","19-14","368","11.15"
"146","Loyola Maryland","30","9-21","334","11.13"
"147","La.-Monroe","33","20-13","366","11.09"
"148","Nebraska","34","16-18","377","11.09"
"149","McNeese St.","29","9-20","321","11.07"
"150","Mississippi Val.","34","7-27","375","11.03"
"151","Delaware","30","7-23","330","11.00"
"","Texas","32","20-12","352","11.00"
"","Norfolk St.","33","17-16","363","11.00"
"","St. Bonaventure","30","22-8","330","11.00"
"155","UCF","30","12-18","329","10.97"
"156","Chattanooga","34","29-5","372","10.94"
"157","Pepperdine","31","18-13","339","10.94"
"158","Stanford","30","15-15","328","10.93"
"159","Notre Dame","32","21-11","349","10.91"
"160","Louisiana Tech","32","23-9","347","10.84"
"161","Texas St.","31","15-16","336","10.84"
"162","Col. of Charleston","31","17-14","335","10.81"
"163","UT Martin","33","19-14","356","10.79"
"164","St. John's (NY)","32","8-24","345","10.78"
"165","Arkansas St.","31","11-20","334","10.77"
"166","Monmouth","34","27-7","366","10.76"
"167","TCU","33","12-21","355","10.76"
"","Furman","33","18-15","355","10.76"
"169","Hawaii","32","27-5","344","10.75"
"","Illinois St.","32","18-14","344","10.75"
"171","Saint Peter's","30","14-16","322","10.73"
"172","Oklahoma","32","25-7","343","10.72"
"","Indiana St.","32","15-17","343","10.72"
"174","Northwestern","32","20-12","342","10.69"
"175","Oregon St.","31","19-12","330","10.65"
"176","Delaware St.","32","7-25","340","10.63"
"177","Kansas","34","30-4","361","10.62"
"178","UC Santa Barbara","31","18-13","329","10.61"
"","Portland St.","31","13-18","329","10.61"
"180","Ohio St.","33","20-13","350","10.61"
"","Longwood","33","10-23","350","10.61"
"","Gonzaga","33","26-7","350","10.61"
"183","Harvard","30","14-16","318","10.60"
"184","Jacksonville","32","16-16","339","10.59"
"","Iona","32","22-10","339","10.59"
"","Fairleigh Dickinson","32","18-14","339","10.59"
"187","Northern Colo.","31","10-21","328","10.58"
"188","Cleveland St.","32","9-23","338","10.56"
"189","San Jose St.","31","9-22","327","10.55"
"190","UMES","32","10-22","337","10.53"
"191","High Point","31","21-10","326","10.52"
"192","Long Beach St.","34","20-14","357","10.50"
"","ETSU","34","23-11","357","10.50"
"","Akron","34","26-8","357","10.50"
"195","Samford","33","14-19","346","10.48"
"196","Mississippi St.","31","14-17","325","10.48"
"197","Southern U.","34","22-12","356","10.47"
"198","Elon","32","16-16","335","10.47"
"","James Madison","32","21-11","335","10.47"
"","Rhode Island","32","17-15","335","10.47"
"201","Drexel","31","6-25","324","10.45"
"","Omaha","31","18-13","324","10.45"
"203","Penn St.","32","16-16","333","10.41"
"","Missouri St.","32","13-19","333","10.41"
"205","Kennesaw St.","31","11-20","322","10.39"
"206","Bucknell","30","17-13","311","10.37"
"207","Virginia Tech","33","19-14","342","10.36"
"208","Middle Tenn.","33","24-9","341","10.33"
"","Fordham","30","17-13","310","10.33"
"","Marshall","33","17-16","341","10.33"
"211","Texas Tech","31","19-12","320","10.32"
"","Clemson","31","17-14","320","10.32"
"","Columbia","31","21-10","320","10.32"
"214","Utah St.","31","16-15","319","10.29"
"215","Charleston So.","30","9-21","308","10.27"
"216","Penn","28","11-17","287","10.25"
"","FIU","32","13-19","328","10.25"
"218","Houston Baptist","33","17-16","338","10.24"
"219","DePaul","31","9-22","317","10.23"
"220","Duquesne","32","16-16","327","10.22"
"","UTSA","32","5-27","327","10.22"
"222","Northwestern St.","28","8-20","286","10.21"
"223","Southeastern La.","33","12-21","336","10.18"
"224","Jacksonville St.","31","8-23","315","10.16"
"225","Lipscomb","33","12-21","335","10.15"
"226","Bowling Green","34","16-18","345","10.15"
"","Saint Joseph's","34","27-7","345","10.15"
"228","Florida A&M","29","8-21","293","10.10"
"229","CSUN","30","10-20","303","10.10"
"230","Tulsa","31","20-11","313","10.10"
"231","Pacific","28","8-20","282","10.07"
"232","South Carolina St.","34","19-15","342","10.06"
"233","IUPUI","32","13-19","321","10.03"
"234","IPFW","33","24-9","331","10.03"
"235","Rider","33","13-20","330","10.00"
"","East Carolina","32","12-20","320","10.00"
"","Minnesota","31","8-23","310","10.00"
"238","Central Mich.","32","17-15","319","9.97"
"239","Eastern Ill.","30","13-17","299","9.97"
"240","Princeton","28","22-6","279","9.96"
"241","UC Riverside","33","14-19","328","9.94"
"242","Murray St.","31","17-14","308","9.94"
"243","Dayton","32","25-7","317","9.91"
"244","Miami (OH)","33","13-20","326","9.88"
"245","Boise St.","32","20-12","315","9.84"
"246","Rutgers","32","7-25","314","9.81"
"247","Alabama","32","18-14","313","9.78"
"248","Ark.-Pine Bluff","33","8-25","322","9.76"
"249","Sacramento St.","31","14-17","302","9.74"
"250","Stetson","34","12-22","331","9.74"
"251","Milwaukee","33","20-13","321","9.73"
"252","Brown","28","8-20","272","9.71"
"253","New Mexico","32","17-15","310","9.69"
"","Miami (FL)","32","25-7","310","9.69"
"","Oklahoma St.","32","12-20","310","9.69"
"256","Bryant","31","8-23","300","9.68"
"257","VMI","30","9-21","290","9.67"
"258","Utah","34","26-8","328","9.65"
"","UC Irvine","34","25-9","328","9.65"
"260","NJIT","31","17-14","299","9.65"
"","Oral Roberts","31","14-17","299","9.65"
"262","Mt. St. Mary's","33","14-19","318","9.64"
"263","San Diego","30","9-21","289","9.63"
"264","Presbyterian","31","11-20","298","9.61"
"265","Davidson","32","20-12","307","9.59"
"","Massachusetts","32","14-18","307","9.59"
"","Lehigh","32","17-15","307","9.59"
"268","Georgetown","33","15-18","316","9.58"
"269","UNCG","32","14-18","306","9.56"
"","Toledo","32","17-15","306","9.56"
"271","Missouri","31","10-21","295","9.52"
"272","Vanderbilt","32","19-13","304","9.50"
"","Tennessee Tech","30","19-11","285","9.50"
"274","UConn","34","24-10","322","9.47"
"275","Robert Morris","32","10-22","303","9.47"
"276","Marquette","33","20-13","311","9.42"
"277","Savannah St.","31","16-15","290","9.35"
"278","Eastern Wash.","32","17-15","299","9.34"
"279","Colgate","30","13-17","280","9.33"
"280","Creighton","32","18-14","298","9.31"
"","Montana","32","21-11","298","9.31"
"","North Dakota St.","32","20-12","298","9.31"
"283","Villanova","34","29-5","315","9.26"
"","Nicholls St.","34","11-23","315","9.26"
"285","Utah Valley","30","12-18","277","9.23"
"286","Maryland","33","25-8","304","9.21"
"287","Rice","32","12-20","294","9.19"
"288","Idaho St.","31","16-15","284","9.16"
"289","Boston U.","32","18-14","293","9.16"
"290","Little Rock","33","29-4","302","9.15"
"291","Binghamton","30","8-22","273","9.10"
"292","Winthrop","32","23-9","291","9.09"
"","Ball St.","32","19-13","291","9.09"
"","Fairfield","32","19-13","291","9.09"
"","Iowa St.","32","21-11","291","9.09"
"296","UTEP","33","19-14","299","9.06"
"297","South Dakota","32","14-18","289","9.03"
"","St. Mary's (CA)","32","27-5","289","9.03"
"299","Vermont","34","21-13","307","9.03"
"300","Grambling","30","7-23","270","9.00"
"","Santa Clara","31","11-20","279","9.00"
"302","Virginia","33","26-7","296","8.97"
"303","Northeastern","33","18-15","295","8.94"
"304","Air Force","32","14-18","285","8.91"
"305","North Dakota","32","17-15","284","8.88"
"306","Youngstown St.","32","11-21","283","8.84"
"307","Eastern Ky.","31","15-16","274","8.84"
"","La Salle","31","9-22","274","8.84"
"309","UMBC","32","7-25","279","8.72"
"310","Cornell","28","10-18","244","8.71"
"311","Marist","30","7-23","261","8.70"
"312","North Florida","33","22-11","287","8.70"
"313","Northern Ariz.","30","5-25","260","8.67"
"314","Western Ill.","27","10-17","233","8.63"
"315","Bradley","32","5-27","276","8.63"
"316","UTRGV","30","8-22","257","8.57"
"317","Wofford","32","15-17","274","8.56"
"318","Weber St.","34","26-8","291","8.56"
"319","Fla. Atlantic","33","8-25","282","8.55"
"320","UC Davis","30","11-19","256","8.53"
"321","Ohio","32","21-11","273","8.53"
"322","Belmont","31","20-11","264","8.52"
"323","William & Mary","31","20-11","258","8.32"
"324","Southern Utah","29","5-24","238","8.21"
"325","Drake","31","7-24","253","8.16"
"326","Holy Cross","33","14-19","269","8.15"
"327","Georgia St.","30","16-14","243","8.10"
"328","Lafayette","30","6-24","242","8.07"
"","Campbell","30","12-18","242","8.07"
"330","Washington St.","31","9-22","247","7.97"
"331","Southern Miss.","29","8-21","228","7.86"
"332","Michigan","34","22-12","267","7.85"
"333","Richmond","32","16-16","251","7.84"
"334","Manhattan","31","13-18","242","7.81"
"335","Loyola Chicago","32","15-17","246","7.69"
"336","Evansville","34","25-9","260","7.65"
"337","Boston College","32","7-25","243","7.59"
"338","Illinois","34","15-19","258","7.59"
"339","Saint Louis","32","11-21","230","7.19"
"340","American","31","12-19","218","7.03"
"341","Hartford","33","10-23","230","6.97"
"342","Liberty","32","13-19","214","6.69"
"343","Wright St.","35","22-13","232","6.63"
"344","Wyoming","31","13-18","175","5.65"
"345","Denver","31","16-15","168","5.42"
"346","UNI","34","22-12","183","5.38"
"NR","Grand Canyon","32","26-6","373","11.66"
"NR","Northern Ky.","30","9-21","281","9.37"
"NR","Abilene Christian","31","13-18","269","8.68"
"NR","UMass Lowell","29","11-18","249","8.59"
"NR","Incarnate Word","29","17-12","232","8.00"
