"Rank","Name","GM","W-L","3FG","3FGA"
"","Maine","30","8-22","228","673"
"142","Xavier","32","27-5","243","672"
"","Quinnipiac","30","9-21","229","672"
"144","Lafayette","30","6-24","245","671"
"145","Oregon","34","28-6","234","670"
"146","Loyola Marymount","31","14-17","227","669"
"","South Dakota St.","32","25-7","239","669"
"148","Iowa","31","21-10","255","667"
"149","Ark.-Pine Bluff","33","8-25","202","666"
"","Northern Ill.","33","21-12","234","666"
"151","Penn St.","32","16-16","211","665"
"152","Kansas","34","30-4","283","664"
"153","Eastern Ill.","30","13-17","232","663"
"154","Wofford","32","15-17","270","662"
"155","UConn","34","24-10","239","660"
"","South Ala.","33","14-19","213","660"
"157","San Francisco","30","15-15","233","659"
"","Hampton","31","21-10","203","659"
"159","Radford","31","16-15","226","658"
"","Montana","32","21-11","242","658"
"","Texas","32","20-12","223","658"
"162","Tulsa","31","20-11","216","656"
"","St. Bonaventure","30","22-8","247","656"
"","Penn","28","11-17","200","656"
"165","La.-Lafayette","31","17-14","200","654"
"166","Eastern Ky.","31","15-16","258","653"
"","William & Mary","31","20-11","241","653"
"168","UMBC","32","7-25","216","652"
"169","UCF","30","12-18","207","651"
"","UNCW","32","25-7","219","651"
"","Detroit","31","16-15","244","651"
"172","Northern Ariz.","30","5-25","220","650"
"","Longwood","33","10-23","227","650"
"","Alabama St.","31","14-17","215","650"
"175","Southeastern La.","33","12-21","241","649"
"176","Rider","33","13-20","204","646"
"177","Robert Morris","32","10-22","178","645"
"178","Western Ky.","34","18-16","233","644"
"179","UAB","32","26-6","238","643"
"","Manhattan","31","13-18","232","643"
"","UC Santa Barbara","31","18-13","236","643"
"182","Texas Southern","32","18-14","219","642"
"183","Little Rock","33","29-4","249","641"
"","USC Upstate","32","10-22","218","641"
"185","Brown","28","8-20","225","639"
"186","Notre Dame","32","21-11","235","637"
"","Kentucky","34","26-8","236","637"
"","Colorado","33","22-11","250","637"
"189","Memphis","34","19-15","206","635"
"190","Nebraska","34","16-18","220","634"
"","Fairleigh Dickinson","32","18-14","230","634"
"192","N.C. A&T","32","10-22","199","633"
"","UTRGV","30","8-22","212","633"
"194","California","33","23-10","233","632"
