"Rank","Name","GM","W-L","BLKS"
"281","Mississippi Val.","34","7-27","80"
"","Youngstown St.","32","11-21","80"
"","Western Mich.","32","13-19","80"
"","UTSA","32","5-27","80"
"285","Southern Utah","29","5-24","79"
"286","South Dakota St.","32","25-7","78"
"","Northern Colo.","31","10-21","78"
"288","Colorado St.","34","18-16","77"
"","UNCG","32","14-18","77"
"","Belmont","31","20-11","77"
"","Sacred Heart","30","12-18","77"
"","N.C. A&T","32","10-22","77"
"293","Penn","28","11-17","76"
"","New Orleans","30","10-20","76"
"295","Morehead St.","31","19-12","75"
"","Col. of Charleston","31","17-14","75"
"","Wright St.","35","22-13","75"
"298","Michigan","34","22-12","74"
"","Elon","32","16-16","74"
"","Richmond","32","16-16","74"
"301","Charlotte","33","14-19","73"
"","Ga. Southern","31","14-17","73"
"303","Campbell","30","12-18","72"
"","NJIT","31","17-14","72"
"","UMES","32","10-22","72"
"","Colgate","30","13-17","72"
"307","Denver","31","16-15","71"
"","Pacific","28","8-20","71"
"","Miami (OH)","33","13-20","71"
"","Manhattan","31","13-18","71"
"311","Lafayette","30","6-24","69"
"","American","31","12-19","69"
"313","Binghamton","30","8-22","68"
"","Morgan St.","31","9-22","68"
"","Eastern Ill.","30","13-17","68"
"316","UT Martin","33","19-14","67"
"317","Saint Louis","32","11-21","66"
"","Murray St.","31","17-14","66"
"319","Drake","31","7-24","65"
"","Illinois","34","15-19","65"
"","Florida A&M","29","8-21","65"
"322","East Carolina","32","12-20","64"
"","Boise St.","32","20-12","64"
"324","Charleston So.","30","9-21","63"
"","Hartford","33","10-23","63"
"","Toledo","32","17-15","63"
"","Southern Miss.","29","8-21","63"
"","Southern Ill.","32","22-10","63"
"329","Montana St.","31","14-17","62"
"330","Alabama A&M","29","11-18","61"
"331","Presbyterian","31","11-20","60"
"332","Northern Ariz.","30","5-25","59"
"333","Air Force","32","14-18","58"
"","UMBC","32","7-25","58"
"335","Sam Houston St.","34","18-16","57"
"336","Wofford","32","15-17","56"
"337","Grambling","30","7-23","54"
"","N.C. Central","32","13-19","54"
"","New Hampshire","31","19-12","54"
"340","Albany (NY)","32","24-8","52"
"341","Dartmouth","28","10-18","49"
"","UC Davis","30","11-19","49"
"343","Seattle","30","14-16","48"
"344","Cal St. Fullerton","30","10-20","47"
"345","Southeast Mo. St.","29","5-24","46"
"346","Liberty","32","13-19","44"
"NR","Northern Ky.","30","9-21","88"
"NR","Grand Canyon","32","26-6","84"
"NR","Abilene Christian","31","13-18","78"
"NR","Incarnate Word","29","17-12","75"
"NR","UMass Lowell","29","11-18","71"
