"Rank","Name","GM","Opp TO","Avg"
"175","IUPUI","32","405","12.66"
"","Creighton","32","405","12.66"
"177","St. Francis Brooklyn","32","404","12.63"
"178","Northern Ariz.","30","378","12.60"
"179","East Carolina","32","403","12.59"
"","Towson","32","403","12.59"
"","North Texas","32","403","12.59"
"182","Troy","31","390","12.58"
"183","N.C. A&T","32","402","12.56"
"184","Charleston So.","30","376","12.53"
"185","Indiana St.","32","401","12.53"
"186","UC Santa Barbara","31","388","12.52"
"","Hampton","31","388","12.52"
"188","Yale","28","350","12.50"
"","Texas","32","400","12.50"
"","Lehigh","32","400","12.50"
"191","Jacksonville St.","31","387","12.48"
"","San Jose St.","31","387","12.48"
"193","Southern California","33","411","12.45"
"","Houston Baptist","33","411","12.45"
"195","Houston","31","386","12.45"
"196","Dayton","32","398","12.44"
"","Massachusetts","32","398","12.44"
"","Army West Point","32","398","12.44"
"199","Iowa St.","32","397","12.41"
"","Rhode Island","32","397","12.41"
"201","Siena","33","409","12.39"
"202","Northern Colo.","31","384","12.39"
"","Minnesota","31","384","12.39"
"204","Binghamton","30","371","12.37"
"205","Longwood","33","408","12.36"
"206","Kentucky","34","420","12.35"
"207","Southern Utah","29","358","12.34"
"208","San Diego St.","34","419","12.32"
"209","Missouri St.","32","394","12.31"
"210","FGCU","33","406","12.30"
"211","Quinnipiac","30","369","12.30"
"212","New Mexico","32","393","12.28"
"","Oakland","32","393","12.28"
"214","Tennessee","34","417","12.26"
"","South Carolina St.","34","417","12.26"
"","Stetson","34","417","12.26"
"217","Belmont","31","380","12.26"
"218","DePaul","31","379","12.23"
"219","UConn","34","415","12.21"
"220","UMKC","31","378","12.19"
"221","South Dakota St.","32","390","12.19"
"","Toledo","32","390","12.19"
"223","Duke","33","402","12.18"
"224","Wisconsin","32","389","12.16"
"","Western Mich.","32","389","12.16"
"226","Rider","33","401","12.15"
"227","Sacramento St.","31","376","12.13"
"228","Liberty","32","388","12.13"
"229","UT Martin","33","400","12.12"
"230","SMU","30","363","12.10"
"231","Alabama","32","387","12.09"
"232","Northeastern","33","399","12.09"
"233","La.-Lafayette","31","374","12.06"
"234","Virginia","33","398","12.06"
"235","Pacific","28","337","12.04"
"236","UNCG","32","385","12.03"
"237","American","31","372","12.00"
"","UC Riverside","33","396","12.00"
"","SIUE","28","336","12.00"
"240","San Diego","30","359","11.97"
"","Lafayette","30","359","11.97"
"242","Michigan","34","406","11.94"
"243","Ohio St.","33","394","11.94"
"244","Eastern Wash.","32","381","11.91"
"245","Alcorn","30","357","11.90"
"246","Hofstra","33","392","11.88"
"247","Saint Peter's","30","356","11.87"
"248","Bowling Green","34","403","11.85"
"249","Marist","30","355","11.83"
"250","Southern Miss.","29","343","11.83"
"251","Radford","31","366","11.81"
"252","UNI","34","401","11.79"
"253","George Washington","33","389","11.79"
"254","Elon","32","377","11.78"
"","Winthrop","32","377","11.78"
"","Duquesne","32","377","11.78"
"257","Drexel","31","365","11.77"
"258","Tennessee Tech","30","353","11.77"
"","Loyola Maryland","30","353","11.77"
"260","Bradley","32","376","11.75"
"","Brown","28","329","11.75"
"","Penn St.","32","376","11.75"
"","Wofford","32","376","11.75"
"264","Montana St.","31","364","11.74"
"265","Ill.-Chicago","30","352","11.73"
"266","Rutgers","32","375","11.72"
"","Boston U.","32","375","11.72"
"268","Kent St.","32","374","11.69"
"","UCLA","32","374","11.69"
"","North Dakota St.","32","374","11.69"
"271","Akron","34","397","11.68"
"272","Central Ark.","28","326","11.64"
"273","Miami (FL)","32","372","11.63"
"274","McNeese St.","29","337","11.62"
"275","UC Irvine","34","395","11.62"
"276","Arizona","33","383","11.61"
"277","Niagara","32","370","11.56"
"","Pittsburgh","32","370","11.56"
"279","Clemson","31","358","11.55"
"280","Penn","28","323","11.54"
"281","Harvard","30","346","11.53"
"282","Oklahoma St.","32","369","11.53"
"283","Vermont","34","392","11.53"
"284","La.-Monroe","33","380","11.52"
"285","Saint Francis (PA)","30","345","11.50"
"","San Francisco","30","345","11.50"
"287","Arkansas St.","31","356","11.48"
"288","Davidson","32","367","11.47"
"289","Cal St. Fullerton","30","344","11.47"
"290","Fla. Atlantic","33","378","11.45"
"291","Saint Joseph's","34","389","11.44"
"292","Utah St.","31","354","11.42"
"293","Georgetown","33","376","11.39"
"294","Oral Roberts","31","352","11.35"
"295","Ball St.","32","363","11.34"
"296","Santa Clara","31","351","11.32"
"","Pepperdine","31","351","11.32"
"298","Alabama A&M","29","328","11.31"
"299","IPFW","33","373","11.30"
"300","USC Upstate","32","361","11.28"
"301","Appalachian St.","31","349","11.26"
"302","Western Ill.","27","303","11.22"
"303","Maryland","33","370","11.21"
"304","Bryant","31","346","11.16"
"305","Missouri","31","344","11.10"
"306","Temple","32","355","11.09"
"307","New Mexico St.","33","365","11.06"
"","Colorado","33","365","11.06"
"309","Wake Forest","31","342","11.03"
"310","Coastal Caro.","29","319","11.00"
"311","Weber St.","34","373","10.97"
"312","Cal Poly","30","328","10.93"
"313","Milwaukee","33","360","10.91"
"314","Washington St.","31","338","10.90"
"315","Old Dominion","35","381","10.89"
"316","Texas Southern","32","348","10.88"
"317","North Florida","33","358","10.85"
"","Mercer","33","358","10.85"
"319","Wyoming","31","335","10.81"
"320","Central Mich.","32","345","10.78"
"","Northwestern","32","345","10.78"
"322","James Madison","32","344","10.75"
"323","Western Ky.","34","364","10.71"
"324","Georgia","32","342","10.69"
"325","New Hampshire","31","330","10.65"
"326","William & Mary","31","329","10.61"
