"Rank","Name","GM","W-L","ORebs","DRebs","REB"
"","Georgetown","33","15-18","316","865","1181"
"","San Francisco","30","15-15","388","793","1181"
"141","Marquette","33","20-13","311","869","1180"
"142","N.C. Central","32","13-19","395","783","1178"
"143","Houston","31","22-9","402","775","1177"
"","Arizona St.","32","15-17","394","783","1177"
"145","Temple","32","21-11","358","818","1176"
"","Radford","31","16-15","408","768","1176"
"147","LIU Brooklyn","31","16-15","386","789","1175"
"148","North Dakota","32","17-15","284","889","1173"
"","Lamar","30","11-19","415","758","1173"
"","New Mexico","32","17-15","310","863","1173"
"151","Chicago St.","32","4-28","414","758","1172"
"","Furman","33","18-15","355","817","1172"
"153","Maryland","33","25-8","304","867","1171"
"154","Creighton","32","18-14","298","872","1170"
"","Rider","33","13-20","330","840","1170"
"156","Detroit","31","16-15","373","796","1169"
"157","Niagara","32","7-25","384","783","1167"
"158","Northwestern","32","20-12","342","824","1166"
"159","UCF","30","12-18","329","836","1165"
"","UC Santa Barbara","31","18-13","329","836","1165"
"161","Toledo","32","17-15","306","855","1161"
"","UC Riverside","33","14-19","328","833","1161"
"163","Winthrop","32","23-9","291","869","1160"
"164","Montana St.","31","14-17","394","765","1159"
"165","North Texas","32","12-20","362","796","1158"
"166","The Citadel","32","10-22","404","753","1157"
"167","Notre Dame","32","21-11","349","805","1154"
"","Boston U.","32","18-14","293","861","1154"
"","Iowa St.","32","21-11","291","863","1154"
"170","Alabama St.","31","14-17","391","762","1153"
"","Morehead St.","31","19-12","457","696","1153"
"172","N.C. A&T","32","10-22","357","791","1148"
"","Coppin St.","31","9-22","406","742","1148"
"174","Ball St.","32","19-13","291","856","1147"
"175","Norfolk St.","33","17-16","363","783","1146"
"176","South Carolina St.","34","19-15","342","803","1145"
"177","Nicholls St.","34","11-23","315","829","1144"
"178","Pepperdine","31","18-13","339","804","1143"
"","Samford","33","14-19","346","797","1143"
"180","St. John's (NY)","32","8-24","345","797","1142"
"181","Virginia Tech","33","19-14","342","799","1141"
"","Illinois St.","32","18-14","344","797","1141"
"","Massachusetts","32","14-18","307","834","1141"
"184","Southeastern La.","33","12-21","336","804","1140"
"","Appalachian St.","31","9-22","393","747","1140"
"186","Ohio","32","21-11","273","864","1137"
"","Syracuse","32","19-13","378","759","1137"
"188","New Orleans","30","10-20","422","714","1136"
"189","Missouri St.","32","13-19","333","802","1135"
"","William & Mary","31","20-11","258","877","1135"
"","Southern Ill.","32","22-10","357","778","1135"
"","North Florida","33","22-11","287","848","1135"
"193","Auburn","31","11-20","346","788","1134"
"194","Coastal Caro.","29","18-11","326","806","1132"
"","Delaware","30","7-23","330","802","1132"
"","Troy","31","9-22","349","783","1132"
"197","Ga. Southern","31","14-17","374","757","1131"
"","Yale","28","22-6","379","752","1131"
"199","SFA","32","27-5","380","750","1130"
"","San Jose St.","31","9-22","327","803","1130"
"","Portland","32","12-20","369","761","1130"
"202","Butler","31","21-10","354","775","1129"
"203","A&M-Corpus Christi","32","25-7","366","762","1128"
"","Sacred Heart","30","12-18","378","750","1128"
"205","Davidson","32","20-12","307","820","1127"
"206","St. Mary's (CA)","32","27-5","289","837","1126"
"207","North Dakota St.","32","20-12","298","825","1123"
"208","Central Mich.","32","17-15","319","800","1119"
"209","Harvard","30","14-16","318","800","1118"
"","Rhode Island","32","17-15","335","783","1118"
"211","Little Rock","33","29-4","302","815","1117"
"","Wisconsin","32","20-12","366","751","1117"
"213","Canisius","33","14-19","393","723","1116"
"","Cal St. Fullerton","30","10-20","335","781","1116"
"215","Tennessee St.","30","20-10","340","775","1115"
"216","TCU","33","12-21","355","758","1113"
"","Rutgers","32","7-25","314","799","1113"
"","Fairfield","32","19-13","291","822","1113"
"219","Sacramento St.","31","14-17","302","810","1112"
"","Miami (FL)","32","25-7","310","802","1112"
"221","Northeastern","33","18-15","295","816","1111"
"","Penn St.","32","16-16","333","778","1111"
"","Oklahoma St.","32","12-20","310","801","1111"
"","Boise St.","32","20-12","315","796","1111"
"225","Missouri","31","10-21","295","814","1109"
"","Air Force","32","14-18","285","824","1109"
"","Alabama","32","18-14","313","796","1109"
"","Montana","32","21-11","298","811","1109"
"229","Utah St.","31","16-15","319","788","1107"
"230","Texas","32","20-12","352","753","1105"
"","IUPUI","32","13-19","321","784","1105"
"","Saint Peter's","30","14-16","322","783","1105"
"233","Utah Valley","30","12-18","277","825","1102"
"234","Bucknell","30","17-13","311","790","1101"
"","Seattle","30","14-16","341","760","1101"
"","Oral Roberts","31","14-17","299","802","1101"
"237","UNCG","32","14-18","306","792","1098"
"238","East Carolina","32","12-20","320","777","1097"
"","Omaha","31","18-13","324","773","1097"
"240","Portland St.","31","13-18","329","767","1096"
"241","Lehigh","32","17-15","307","788","1095"
"242","Wright St.","35","22-13","232","862","1094"
"","Cal Poly","30","10-20","351","743","1094"
"","Mississippi St.","31","14-17","325","769","1094"
"245","Saint Francis (PA)","30","13-17","349","744","1093"
"246","Morgan St.","31","9-22","377","712","1089"
"","Michigan","34","22-12","267","822","1089"
"248","Columbia","31","21-10","320","767","1087"
"249","CSUN","30","10-20","303","783","1086"
"","Tulsa","31","20-11","313","773","1086"
"","UTSA","32","5-27","327","759","1086"
"252","Col. of Charleston","31","17-14","335","750","1085"
"253","UMKC","31","12-19","356","728","1084"
