"Rank","Name","GM","ORebs","DRebs","REB","RPG"
"339","Southern Utah","29","238","640","878","30.28"
"340","Holy Cross","33","269","725","994","30.12"
"341","Hartford","33","230","763","993","30.09"
"342","UNI","34","183","839","1022","30.06"
"343","Manhattan","31","242","674","916","29.55"
"344","Liberty","32","214","729","943","29.47"
"345","American","31","218","656","874","28.19"
"346","Denver","31","168","613","781","25.19"
"NR","Grand Canyon","32","373","853","1226","38.31"
"NR","Northern Ky.","30","281","751","1032","34.40"
"NR","Incarnate Word","29","232","742","974","33.59"
"NR","UMass Lowell","29","249","698","947","32.66"
"NR","Abilene Christian","31","269","722","991","31.97"
