"Rank","Name","GM","W-L","OPP PTS","OPP PPG"
"120","Tulsa","31","20-11","2160","69.7"
"121","UC Riverside","33","14-19","2300","69.7"
"122","Providence","33","23-10","2301","69.7"
"123","La.-Monroe","33","20-13","2302","69.8"
"124","New Hampshire","31","19-12","2164","69.8"
"125","Texas Tech","31","19-12","2165","69.8"
"126","N.C. Central","32","13-19","2235","69.8"
"127","Saint Joseph's","34","27-7","2377","69.9"
"128","Bradley","32","5-27","2238","69.9"
"129","Oregon St.","31","19-12","2169","70.0"
"130","High Point","31","21-10","2170","70.0"
"131","FIU","32","13-19","2242","70.1"
"132","Texas Southern","32","18-14","2245","70.2"
"133","Boise St.","32","20-12","2246","70.2"
"134","Memphis","34","19-15","2390","70.3"
"135","Ark.-Pine Bluff","33","8-25","2322","70.4"
"136","Stanford","30","15-15","2111","70.4"
"137","Drexel","31","6-25","2183","70.4"
"138","Oklahoma","32","25-7","2254","70.4"
"139","Fresno St.","34","25-9","2395","70.4"
"140","Alabama A&M","29","11-18","2043","70.4"
"141","FGCU","33","20-13","2325","70.5"
"142","Boston College","32","7-25","2256","70.5"
"","Vermont","34","21-13","2397","70.5"
"144","Southern Miss.","29","8-21","2045","70.5"
"145","Tulane","34","12-22","2398","70.5"
"146","Notre Dame","32","21-11","2259","70.6"
"147","Colorado","33","22-11","2333","70.7"
"148","Robert Morris","32","10-22","2267","70.8"
"149","UT Martin","33","19-14","2338","70.8"
"150","Northeastern","33","18-15","2339","70.9"
"151","Western Ill.","27","10-17","1914","70.9"
"152","Xavier","32","27-5","2273","71.0"
"153","Prairie View","31","7-24","2202","71.0"
"154","Quinnipiac","30","9-21","2131","71.0"
"155","Dartmouth","28","10-18","1989","71.0"
"156","Georgia Tech","33","19-14","2345","71.1"
"157","William & Mary","31","20-11","2205","71.1"
"158","North Dakota","32","17-15","2277","71.2"
"159","Butler","31","21-10","2206","71.2"
"160","Pepperdine","31","18-13","2208","71.2"
"161","South Fla.","33","8-25","2352","71.3"
"162","Sam Houston St.","34","18-16","2427","71.4"
"163","UNCW","32","25-7","2286","71.4"
"","Toledo","32","17-15","2286","71.4"
"165","Nevada","32","19-13","2287","71.5"
"166","TCU","33","12-21","2359","71.5"
"167","Colgate","30","13-17","2145","71.5"
