"Rank","Name","GM","W-L","AST"
"297","Saint Peter's","30","14-16","357"
"298","Saint Francis (PA)","30","13-17","356"
"299","IUPUI","32","13-19","355"
"300","Southern Miss.","29","8-21","353"
"301","Georgia St.","30","16-14","352"
"","Auburn","31","11-20","352"
"303","Presbyterian","31","11-20","350"
"","South Ala.","33","14-19","350"
"","Stanford","30","15-15","350"
"","UMKC","31","12-19","350"
"","Marist","30","7-23","350"
"308","Troy","31","9-22","349"
"","Morgan St.","31","9-22","349"
"310","American","31","12-19","348"
"","Coppin St.","31","9-22","348"
"312","Ill.-Chicago","30","5-25","347"
"","Indiana St.","32","15-17","347"
"","Niagara","32","7-25","347"
"315","Campbell","30","12-18","345"
"","North Dakota St.","32","20-12","345"
"317","Ga. Southern","31","14-17","344"
"318","UC Davis","30","11-19","342"
"319","Central Conn. St.","29","4-25","341"
"320","N.C. A&T","32","10-22","339"
"321","Alabama","32","18-14","338"
"","Southern Utah","29","5-24","338"
"323","Loyola Maryland","30","9-21","337"
"324","Miami (OH)","33","13-20","336"
"325","Binghamton","30","8-22","333"
"326","South Fla.","33","8-25","331"
"","McNeese St.","29","9-20","331"
"328","VMI","30","9-21","330"
"329","San Diego","30","9-21","328"
"","George Mason","32","11-21","328"
"331","Cleveland St.","32","9-23","327"
"332","Savannah St.","31","16-15","323"
"333","Northern Colo.","31","10-21","322"
"","Penn St.","32","16-16","322"
"335","Florida A&M","29","8-21","319"
"","Delaware","30","7-23","319"
"337","Ark.-Pine Bluff","33","8-25","317"
"338","Tennessee St.","30","20-10","316"
"339","Cal St. Fullerton","30","10-20","304"
"340","SIUE","28","6-22","303"
"341","Cornell","28","10-18","302"
"342","Bradley","32","5-27","292"
"343","Grambling","30","7-23","289"
"344","Howard","32","12-20","275"
"345","Alcorn","30","15-15","272"
"346","Prairie View","31","7-24","269"
"NR","Grand Canyon","32","26-6","479"
"NR","Northern Ky.","30","9-21","439"
"NR","Incarnate Word","29","17-12","428"
"NR","UMass Lowell","29","11-18","426"
"NR","Abilene Christian","31","13-18","422"
