"Rank","Name","GM","W-L","Opp TO","TO","Ratio"
"135","Florida St.","32","19-13","440","418","0.7"
"","Oakland","32","21-11","393","371","0.7"
"137","Savannah St.","31","16-15","479","458","0.7"
"138","Cal Poly","30","10-20","328","308","0.7"
"139","Drexel","31","6-25","365","345","0.6"
"140","Youngstown St.","32","11-21","407","387","0.6"
"141","Albany (NY)","32","24-8","423","404","0.6"
"142","Western Caro.","33","16-17","493","475","0.5"
"143","Toledo","32","17-15","390","373","0.5"
"144","Marshall","33","17-16","441","424","0.5"
"145","South Carolina St.","34","19-15","417","400","0.5"
"146","Penn St.","32","16-16","376","361","0.5"
"","Montana","32","21-11","409","394","0.5"
"148","George Washington","33","23-10","389","374","0.5"
"149","Troy","31","9-22","390","376","0.5"
"150","Northwestern","32","20-12","345","331","0.4"
"151","Eastern Wash.","32","17-15","381","368","0.4"
"152","Kansas St.","33","17-16","473","460","0.4"
"153","Air Force","32","14-18","435","423","0.4"
"","Chicago St.","32","4-28","470","458","0.4"
"155","Dartmouth","28","10-18","411","401","0.4"
"156","Mississippi St.","31","14-17","404","393","0.4"
"157","Evansville","34","25-9","438","426","0.4"
"158","Towson","32","20-12","403","392","0.3"
"159","Navy","33","19-14","441","430","0.3"
"160","Eastern Ky.","31","15-16","467","457","0.3"
"161","TCU","33","12-21","488","478","0.3"
"162","Sacramento St.","31","14-17","376","367","0.3"
"163","South Dakota St.","32","25-7","390","381","0.3"
"164","Valparaiso","32","26-6","422","414","0.3"
"165","Southern California","33","21-12","411","403","0.2"
"166","St. Mary's (CA)","32","27-5","311","304","0.2"
"","Bethune-Cookman","32","14-18","422","415","0.2"
"168","Maine","30","8-22","497","491","0.2"
"169","UAB","32","26-6","406","400","0.2"
"","Nevada","32","19-13","430","424","0.2"
"","Rice","32","12-20","425","419","0.2"
"172","Hofstra","33","24-9","392","386","0.2"
"173","La Salle","31","9-22","403","398","0.2"
"174","Virginia Tech","33","19-14","426","423","0.1"
"175","Lamar","30","11-19","441","439","0.1"
"176","Pepperdine","31","18-13","351","349","0.1"
"177","Santa Clara","31","11-20","351","350","0.0"
"178","Stetson","34","12-22","417","418","0.0"
"179","Milwaukee","33","20-13","360","362","-0.1"
"180","Wofford","32","15-17","376","378","-0.1"
"181","William & Mary","31","20-11","329","331","-0.1"
"182","Charleston So.","30","9-21","376","378","-0.1"
"183","North Florida","33","22-11","358","362","-0.1"
"184","Pittsburgh","32","21-11","370","374","-0.1"
"185","VMI","30","9-21","393","397","-0.1"
"186","Kent St.","32","19-13","374","379","-0.2"
"187","Kennesaw St.","31","11-20","400","405","-0.2"
"188","UT Martin","33","19-14","400","406","-0.2"
"189","CSUN","30","10-20","414","420","-0.2"
"190","San Diego St.","34","25-9","419","426","-0.2"
"191","Seton Hall","33","25-8","450","457","-0.2"
"192","Southeast Mo. St.","29","5-24","395","402","-0.2"
"193","Oklahoma","32","25-7","407","415","-0.3"
"194","Detroit","31","16-15","414","422","-0.3"
"195","Tulane","34","12-22","441","451","-0.3"
"196","SMU","30","25-5","363","372","-0.3"
"","Marist","30","7-23","355","364","-0.3"
"198","Northeastern","33","18-15","399","409","-0.3"
"199","Massachusetts","32","14-18","398","409","-0.3"
"200","Wyoming","31","13-18","335","346","-0.4"
"","Idaho St.","31","16-15","398","409","-0.4"
"","Montana St.","31","14-17","364","375","-0.4"
"203","Northern Ariz.","30","5-25","378","389","-0.4"
"204","Western Mich.","32","13-19","389","401","-0.4"
"","Boston College","32","7-25","419","431","-0.4"
"206","Buffalo","34","20-14","450","465","-0.4"
"207","Alabama A&M","29","11-18","328","341","-0.4"
"208","Utah Valley","30","12-18","385","399","-0.5"
"209","Missouri St.","32","13-19","394","409","-0.5"
"210","Lipscomb","33","12-21","442","458","-0.5"
"","Furman","33","18-15","420","436","-0.5"
"212","Lehigh","32","17-15","400","416","-0.5"
"213","UCLA","32","15-17","374","392","-0.6"
"214","Austin Peay","35","18-17","470","490","-0.6"
"215","Indiana","32","25-7","418","437","-0.6"
"","N.C. Central","32","13-19","425","444","-0.6"
