"Rank","Name","GM","W-L","Opp 3FGA","Opp 3FG","Pct"
"130","Mt. St. Mary's","33","14-19","510","172","33.7"
"131","UNCW","32","25-7","507","171","33.7"
"132","Northeastern","33","18-15","655","221","33.7"
"133","Seattle","30","14-16","732","247","33.7"
"134","New Mexico St.","33","23-10","619","209","33.8"
"135","Winthrop","32","23-9","669","226","33.8"
"136","Youngstown St.","32","11-21","756","256","33.9"
"137","Lamar","30","11-19","602","204","33.9"
"138","Butler","31","21-10","655","222","33.9"
"139","Duke","33","23-10","593","201","33.9"
"140","N.C. A&T","32","10-22","749","254","33.9"
"141","Buffalo","34","20-14","740","251","33.9"
"142","Alabama St.","31","14-17","569","193","33.9"
"143","Bethune-Cookman","32","14-18","672","228","33.9"
"144","UC Riverside","33","14-19","583","198","34.0"
"145","Rider","33","13-20","721","245","34.0"
"146","Oklahoma","32","25-7","709","241","34.0"
"147","UC Irvine","34","25-9","708","241","34.0"
"148","Saint Peter's","30","14-16","649","221","34.1"
"149","Western Caro.","33","16-17","693","236","34.1"
"150","Cleveland St.","32","9-23","587","200","34.1"
"151","UT Martin","33","19-14","830","283","34.1"
"152","George Washington","33","23-10","674","230","34.1"
"153","Ohio St.","33","20-13","709","242","34.1"
"154","Tennessee","34","15-19","726","248","34.2"
"155","Ball St.","32","19-13","632","216","34.2"
"156","Oklahoma St.","32","12-20","631","216","34.2"
"157","North Dakota","32","17-15","718","246","34.3"
"","Marquette","33","20-13","718","246","34.3"
"159","N.C. Central","32","13-19","659","226","34.3"
"160","Towson","32","20-12","589","202","34.3"
"161","Texas","32","20-12","586","201","34.3"
"162","Indiana","32","25-7","583","200","34.3"
"163","Central Mich.","32","17-15","641","220","34.3"
"164","Mississippi St.","31","14-17","623","214","34.3"
"165","Middle Tenn.","33","24-9","620","213","34.4"
"166","UMKC","31","12-19","649","223","34.4"
"167","UTRGV","30","8-22","602","207","34.4"
"168","Utah St.","31","16-15","663","228","34.4"
"169","Northern Ill.","33","21-12","753","259","34.4"
"170","Air Force","32","14-18","843","290","34.4"
"171","New Hampshire","31","19-12","651","224","34.4"
"172","Hartford","33","10-23","671","231","34.4"
